"Variables ->","EA_pic4","RA_by","RA_igy","RA_pic4","RA_tby","AT_by","AT_igy","AT_pic4","AT_tby","BE_by","BE_igy","BE_pic4","BE_tby","ES_by","ES_igy","ES_pic4","ES_tby","FI_by","FI_igy","FI_pic4","FI_tby","FR_by","FR_igy","FR_pic4","FR_tby","GR_by","GR_igy","GR_pic4","GR_tby","IT_by","IT_igy","IT_pic4","IT_tby","NL_by","NL_igy","NL_pic4","NL_tby","PT_by","PT_igy","PT_pic4","PT_tby","DE_by","DE_igy","DE_pic4","DE_tby","RU_by","RU_igy","RU_pic4","RU_tby","RW_by","RW_igy","RW_pic4","RW_tby","US_by","US_igy","US_pic4","US_tby","RA_r","RA_rr","AT_r","AT_rr","BE_r","BE_rr","ES_r","ES_rr","FI_r","FI_rr","FR_r","FR_rr","GR_r","GR_rr","IT_r","IT_rr","NL_r","NL_rr","PT_r","PT_rr","DE_r","DE_rr","RU_r","RU_rr","RW_r","RW_rr","US_r","US_rr","EA_y","RA_c","RA_ci","RA_cj","RA_cg","RA_i","RA_ig","RA_nd","RA_reer","RA_tot","RA_w","RA_y","RA_ysn","RA_yst","AT_c","AT_ci","AT_cj","AT_cg","AT_i","AT_ig","AT_nd","AT_reer","AT_tot","AT_w","AT_y","AT_ysn","AT_yst","BE_c","BE_ci","BE_cj","BE_cg","BE_i","BE_ig","BE_nd","BE_reer","BE_tot","BE_w","BE_y","BE_ysn","BE_yst","ES_c","ES_ci","ES_cj","ES_cg","ES_i","ES_ig","ES_nd","ES_reer","ES_tot","ES_w","ES_y","ES_ysn","ES_yst","FI_c","FI_ci","FI_cj","FI_cg","FI_i","FI_ig","FI_nd","FI_reer","FI_tot","FI_w","FI_y","FI_ysn","FI_yst","FR_c","FR_ci","FR_cj","FR_cg","FR_i","FR_ig","FR_nd","FR_reer","FR_tot","FR_w","FR_y","FR_ysn","FR_yst","GR_c","GR_ci","GR_cj","GR_cg","GR_i","GR_ig","GR_nd","GR_reer","GR_tot","GR_w","GR_y","GR_ysn","GR_yst","IT_c","IT_ci","IT_cj","IT_cg","IT_i","IT_ig","IT_nd","IT_reer","IT_tot","IT_w","IT_y","IT_ysn","IT_yst","NL_c","NL_ci","NL_cj","NL_cg","NL_i","NL_ig","NL_nd","NL_reer","NL_tot","NL_w","NL_y","NL_ysn","NL_yst","PT_c","PT_ci","PT_cj","PT_cg","PT_i","PT_ig","PT_nd","PT_reer","PT_tot","PT_w","PT_y","PT_ysn","PT_yst","DE_c","DE_ci","DE_cj","DE_cg","DE_i","DE_ig","DE_nd","DE_reer","DE_tot","DE_w","DE_y","DE_ysn","DE_yst","RU_c","RU_ci","RU_cj","RU_cg","RU_i","RU_ig","RU_nd","RU_reer","RU_tot","RU_w","RU_y","RU_ysn","RU_yst","RW_c","RW_ci","RW_cj","RW_cg","RW_i","RW_ig","RW_nd","RW_reer","RW_tot","RW_w","RW_y","RW_ysn","RW_yst","US_c","US_ci","US_cj","US_cg","US_i","US_ig","US_nd","US_reer","US_w","US_y","US_ysn","US_yst"
"3Q3",0.007,-0.060,0.000,0.021,0.025,-0.082,0.000,0.018,0.014,-0.072,0.000,0.021,0.015,-0.056,0.000,0.020,0.012,-0.044,0.000,0.022,0.010,-0.067,0.000,0.020,0.011,-0.071,0.000,0.019,0.012,3.829,1.000,-0.060,-0.186,-0.042,0.000,0.023,0.012,-0.049,0.000,0.021,0.010,-0.069,-0.000,0.021,0.015,-0.015,0.000,0.002,0.010,0.000,0.000,0.002,0.004,-0.002,0.000,0.002,0.003,0.030,0.021,0.030,0.022,0.030,0.017,0.030,0.017,0.030,0.014,0.030,0.019,0.030,0.020,0.030,0.125,0.030,0.014,0.030,0.017,0.030,0.016,0.007,0.010,0.003,0.005,0.003,0.000,0.158,-0.006,-0.012,0.013,0.015,-0.082,0.016,0.025,0.003,0.002,0.005,0.014,-0.020,0.019,0.007,0.005,0.013,0.010,-0.002,0.011,0.027,0.005,0.000,0.014,0.022,0.012,0.025,0.001,-0.002,0.010,0.010,-0.013,0.011,0.026,0.007,0.005,0.010,0.019,0.007,0.022,0.009,0.007,0.020,0.005,0.017,0.004,0.032,0.011,-0.001,0.020,0.023,0.014,0.026,0.006,0.004,0.011,0.006,0.020,0.005,0.028,0.018,0.006,0.015,0.021,0.013,0.024,0.008,0.006,0.014,0.007,0.025,0.006,0.034,0.010,-0.002,0.020,0.023,0.015,0.026,0.009,0.008,0.019,0.004,-0.015,0.004,0.039,0.004,-0.009,0.022,0.018,0.011,0.021,0.039,0.066,-0.088,-0.002,-0.194,36.464,0.705,0.039,-0.058,0.356,0.817,0.686,0.866,0.002,-0.001,0.012,0.009,0.005,0.009,0.030,0.013,0.005,0.013,0.019,0.009,0.022,0.010,0.008,0.018,0.007,0.007,0.006,0.031,0.007,-0.001,0.018,0.020,0.014,0.022,0.006,0.004,0.012,0.007,-0.011,0.006,0.028,0.015,0.004,0.015,0.020,0.008,0.024,-0.002,-0.003,0.003,0.003,-0.047,0.003,0.006,-0.011,-0.004,0.001,0.002,-0.006,0.004,-0.001,-0.001,-0.002,0.001,-0.035,0.001,-0.000,-0.014,-0.002,-0.003,-0.002,-0.004,-0.001,0.000,0.001,-0.001,0.001,-0.035,0.001,-0.000,-0.003,-0.002,-0.002,-0.002,-0.002
"3Q4",0.001,-0.056,0.000,0.016,0.026,-0.081,0.000,0.014,0.014,-0.069,0.000,0.018,0.014,-0.058,0.000,0.017,0.011,-0.052,0.000,0.020,0.010,-0.069,0.000,0.016,0.011,-0.062,0.000,0.015,0.012,4.271,1.000,-0.076,-0.174,-0.046,0.000,0.020,0.012,-0.049,0.000,0.018,0.010,-0.071,-0.000,0.018,0.015,-0.013,0.000,-0.000,0.009,0.003,0.000,0.001,0.004,-0.000,0.000,0.001,0.003,0.027,0.023,0.027,0.024,0.027,0.018,0.027,0.018,0.027,0.014,0.027,0.020,0.027,0.022,0.027,0.131,0.027,0.014,0.027,0.018,0.027,0.017,0.006,0.011,0.003,0.005,0.003,0.000,0.166,-0.004,-0.009,0.013,0.014,-0.077,0.015,0.026,0.004,0.006,0.006,0.015,-0.018,0.019,0.010,0.008,0.014,0.009,0.007,0.010,0.028,0.006,0.005,0.016,0.022,0.015,0.025,0.004,0.001,0.010,0.010,-0.006,0.011,0.027,0.007,0.009,0.011,0.020,0.010,0.023,0.011,0.009,0.021,0.004,0.027,0.004,0.033,0.011,0.003,0.021,0.024,0.017,0.027,0.009,0.007,0.013,0.006,0.027,0.006,0.031,0.018,0.009,0.017,0.023,0.016,0.026,0.011,0.010,0.015,0.006,0.033,0.006,0.035,0.010,0.002,0.021,0.024,0.017,0.026,0.011,0.009,0.019,0.004,-0.001,0.004,0.039,0.005,-0.005,0.023,0.018,0.013,0.020,0.040,0.079,-0.148,0.002,-0.175,36.476,0.725,0.067,0.055,0.320,0.860,0.692,0.923,0.004,0.002,0.013,0.009,0.010,0.009,0.032,0.013,0.009,0.014,0.021,0.012,0.023,0.012,0.010,0.019,0.006,0.017,0.006,0.032,0.007,0.003,0.019,0.021,0.016,0.023,0.008,0.007,0.013,0.006,-0.006,0.006,0.030,0.015,0.007,0.016,0.021,0.010,0.025,-0.001,-0.001,0.003,0.002,-0.040,0.002,0.005,-0.012,-0.002,0.001,0.000,-0.005,0.002,-0.001,-0.001,-0.002,0.001,-0.030,0.001,-0.000,-0.018,-0.001,-0.002,-0.003,-0.003,-0.002,0.001,0.001,-0.001,0.001,-0.032,0.001,-0.001,-0.005,-0.002,-0.002,-0.002,-0.002
"4Q1",-0.004,-0.052,0.000,0.011,0.022,-0.079,0.000,0.010,0.010,-0.065,0.000,0.014,0.011,-0.060,0.000,0.014,0.009,-0.061,0.000,0.017,0.009,-0.071,0.000,0.013,0.009,-0.053,0.000,0.011,0.011,4.691,0.000,-0.089,-0.112,-0.049,0.000,0.017,0.010,-0.049,0.000,0.015,0.008,-0.072,-0.000,0.015,0.013,-0.010,0.000,-0.002,0.006,0.006,0.000,-0.001,0.003,0.002,0.000,0.001,0.002,0.007,0.010,0.007,0.009,0.007,0.000,0.007,0.000,0.007,0.000,0.007,0.000,0.007,0.007,0.007,0.105,0.007,0.000,0.007,0.000,0.007,0.000,0.004,0.010,0.002,0.005,0.002,0.000,0.006,-0.000,-0.005,0.013,0.013,-0.071,0.014,0.021,0.004,0.011,0.007,0.010,-0.016,0.013,0.013,0.012,0.015,0.007,0.015,0.008,0.023,0.006,0.010,0.017,0.018,0.018,0.019,0.007,0.005,0.011,0.009,0.001,0.010,0.024,0.007,0.013,0.012,0.018,0.013,0.019,0.013,0.012,0.022,0.004,0.035,0.004,0.031,0.010,0.007,0.022,0.022,0.019,0.024,0.012,0.011,0.014,0.006,0.033,0.006,0.031,0.018,0.012,0.017,0.023,0.019,0.025,0.014,0.013,0.016,0.005,0.042,0.005,0.032,0.009,0.006,0.022,0.022,0.020,0.023,0.013,0.012,0.019,0.003,0.014,0.004,0.036,0.004,0.000,0.023,0.016,0.015,0.017,0.034,0.094,-0.250,0.005,-0.131,0.566,-0.731,0.088,0.182,0.272,-0.060,0.016,-0.088,0.008,0.006,0.014,0.009,0.014,0.009,0.030,0.012,0.012,0.014,0.020,0.014,0.021,0.013,0.012,0.020,0.006,0.026,0.006,0.031,0.006,0.007,0.020,0.020,0.018,0.021,0.011,0.010,0.013,0.006,-0.001,0.006,0.027,0.014,0.010,0.017,0.019,0.012,0.022,0.000,0.000,0.002,0.001,-0.032,0.001,-0.000,-0.015,0.001,0.002,-0.004,-0.004,-0.004,-0.001,-0.000,-0.002,0.000,-0.023,0.000,-0.002,-0.021,-0.000,-0.002,-0.004,-0.003,-0.005,0.001,0.001,-0.001,0.000,-0.030,0.000,-0.001,-0.008,-0.002,-0.003,-0.002,-0.003
"4Q2",-0.008,-0.051,0.000,0.006,0.020,-0.085,0.000,0.005,0.006,-0.073,0.000,0.010,0.009,-0.072,0.000,0.011,0.007,-0.077,0.000,0.014,0.008,-0.084,0.000,0.009,0.007,-0.063,0.000,0.007,0.009,4.610,0.000,-0.097,-0.072,-0.059,0.000,0.014,0.008,-0.063,0.000,0.011,0.007,-0.078,-0.000,0.012,0.011,-0.005,0.000,-0.004,0.002,0.010,0.000,-0.001,0.001,0.005,0.000,-0.000,0.002,0.006,0.012,0.006,0.010,0.006,0.005,0.006,0.000,0.006,0.000,0.006,0.005,0.006,0.008,0.006,0.090,0.006,0.000,0.006,0.000,0.006,0.000,0.003,0.008,0.002,0.005,0.002,0.000,0.015,0.002,-0.002,0.013,0.010,-0.064,0.012,0.015,0.002,0.009,0.008,0.005,-0.015,0.008,0.015,0.015,0.015,0.005,0.024,0.006,0.018,0.004,0.008,0.018,0.014,0.019,0.012,0.009,0.008,0.011,0.008,0.007,0.009,0.020,0.004,0.010,0.013,0.015,0.014,0.015,0.014,0.012,0.022,0.003,0.043,0.004,0.027,0.007,0.005,0.022,0.020,0.020,0.020,0.014,0.013,0.015,0.005,0.037,0.006,0.028,0.014,0.008,0.018,0.022,0.020,0.022,0.016,0.015,0.016,0.004,0.048,0.004,0.028,0.006,0.004,0.022,0.019,0.021,0.019,0.013,0.012,0.018,0.002,0.028,0.004,0.029,0.001,-0.001,0.023,0.013,0.015,0.012,0.035,0.110,-0.325,0.009,-0.069,0.427,-0.612,0.114,0.282,0.238,0.007,0.028,-0.000,0.010,0.008,0.014,0.008,0.017,0.008,0.026,0.008,0.009,0.015,0.017,0.015,0.018,0.014,0.012,0.021,0.005,0.035,0.006,0.027,0.004,0.004,0.021,0.018,0.019,0.017,0.012,0.011,0.014,0.005,0.004,0.005,0.023,0.010,0.007,0.018,0.016,0.013,0.017,0.002,0.002,0.001,0.000,-0.023,0.001,-0.004,-0.013,0.003,0.002,-0.006,-0.003,-0.008,-0.001,-0.000,-0.003,-0.000,-0.017,0.000,-0.002,-0.021,0.000,-0.002,-0.004,-0.002,-0.006,0.001,0.001,-0.001,0.000,-0.026,0.000,-0.002,-0.008,-0.002,-0.003,-0.002,-0.004
"4Q3",-0.011,-0.044,0.000,0.001,0.017,-0.084,0.000,0.001,0.003,-0.073,0.000,0.006,0.006,-0.077,0.000,0.007,0.005,-0.087,0.000,0.011,0.006,-0.088,0.000,0.006,0.004,-0.061,0.000,0.003,0.006,4.486,0.000,-0.097,-0.034,-0.064,0.000,0.010,0.006,-0.067,0.000,0.008,0.005,-0.079,-0.000,0.009,0.008,-0.001,0.000,-0.005,-0.000,0.013,0.000,-0.002,-0.000,0.007,0.000,-0.001,0.001,0.003,0.012,0.003,0.009,0.003,0.005,0.003,0.000,0.003,0.000,0.003,0.005,0.003,0.008,0.003,0.071,0.003,0.000,0.003,0.000,0.003,0.000,0.001,0.006,0.001,0.000,0.002,0.000,0.025,0.004,0.001,0.012,0.007,-0.056,0.009,0.009,0.001,0.008,0.009,0.001,-0.013,0.003,0.016,0.016,0.014,0.003,0.031,0.004,0.013,0.003,0.007,0.019,0.010,0.019,0.007,0.010,0.010,0.011,0.007,0.012,0.008,0.016,0.002,0.008,0.013,0.011,0.015,0.010,0.014,0.012,0.022,0.002,0.048,0.003,0.022,0.004,0.003,0.022,0.017,0.020,0.015,0.014,0.014,0.016,0.005,0.040,0.005,0.025,0.010,0.005,0.018,0.020,0.021,0.019,0.017,0.017,0.016,0.003,0.054,0.004,0.023,0.003,0.003,0.022,0.016,0.021,0.015,0.013,0.012,0.017,0.001,0.041,0.003,0.022,-0.001,-0.001,0.023,0.010,0.015,0.007,0.042,0.126,-0.359,0.013,0.007,0.294,-0.490,0.135,0.351,0.216,0.077,0.046,0.089,0.011,0.010,0.014,0.007,0.020,0.008,0.022,0.005,0.006,0.015,0.014,0.016,0.014,0.013,0.012,0.020,0.004,0.042,0.005,0.022,0.002,0.002,0.021,0.015,0.019,0.014,0.013,0.012,0.014,0.004,0.008,0.004,0.019,0.006,0.005,0.018,0.013,0.013,0.013,0.003,0.003,0.000,-0.001,-0.014,-0.000,-0.006,-0.012,0.005,0.001,-0.008,-0.001,-0.010,-0.000,0.000,-0.003,-0.000,-0.010,-0.000,-0.003,-0.020,0.001,-0.001,-0.005,-0.002,-0.007,0.001,0.001,-0.002,-0.000,-0.022,0.000,-0.002,-0.009,-0.002,-0.004,-0.002,-0.005
"4Q4",-0.012,-0.036,0.000,-0.004,0.014,-0.081,0.000,-0.002,0.000,-0.071,0.000,0.003,0.004,-0.080,0.000,0.004,0.003,-0.095,0.000,0.008,0.004,-0.091,0.000,0.002,0.001,-0.057,0.000,-0.000,0.003,4.314,0.000,-0.090,0.001,-0.066,0.000,0.006,0.004,-0.070,0.000,0.004,0.003,-0.078,-0.000,0.005,0.006,0.003,0.000,-0.005,-0.002,0.015,0.000,-0.003,-0.001,0.010,0.000,-0.001,0.000,0.001,0.010,0.001,0.007,0.001,0.004,0.001,0.000,0.001,0.000,0.001,0.004,0.001,0.007,0.001,0.053,0.001,0.000,0.001,0.000,0.001,0.000,-0.000,0.000,0.000,0.000,0.001,0.000,0.034,0.005,0.004,0.010,0.005,-0.048,0.006,0.005,0.000,0.007,0.009,-0.002,-0.012,-0.001,0.016,0.017,0.014,0.001,0.037,0.002,0.009,0.002,0.006,0.019,0.007,0.020,0.003,0.011,0.011,0.010,0.005,0.017,0.006,0.012,0.001,0.007,0.013,0.009,0.015,0.007,0.013,0.012,0.021,0.002,0.053,0.003,0.017,0.001,0.002,0.022,0.013,0.019,0.011,0.015,0.014,0.016,0.004,0.042,0.005,0.021,0.007,0.003,0.018,0.017,0.020,0.016,0.017,0.017,0.016,0.002,0.058,0.003,0.018,0.001,0.002,0.022,0.013,0.021,0.011,0.012,0.012,0.016,0.001,0.053,0.003,0.014,-0.002,-0.000,0.022,0.006,0.015,0.003,0.054,0.141,-0.359,0.016,0.091,0.208,-0.374,0.151,0.391,0.204,0.144,0.069,0.172,0.011,0.010,0.014,0.006,0.022,0.007,0.017,0.002,0.005,0.015,0.011,0.015,0.010,0.012,0.011,0.020,0.003,0.048,0.004,0.018,-0.000,0.001,0.020,0.012,0.018,0.010,0.013,0.013,0.013,0.003,0.011,0.003,0.015,0.003,0.003,0.018,0.010,0.013,0.009,0.003,0.004,-0.000,-0.002,-0.006,-0.001,-0.007,-0.011,0.006,0.001,-0.008,-0.000,-0.011,-0.000,0.000,-0.003,-0.001,-0.003,-0.000,-0.003,-0.019,0.002,-0.001,-0.005,-0.001,-0.008,0.001,0.001,-0.002,-0.000,-0.019,-0.000,-0.002,-0.009,-0.001,-0.004,-0.001,-0.006
"5Q1",-0.012,-0.028,0.000,-0.007,0.011,-0.078,0.000,-0.004,-0.003,-0.068,0.000,-0.000,0.001,-0.081,0.000,0.002,0.000,-0.100,0.000,0.005,0.002,-0.092,0.000,-0.000,-0.001,-0.053,0.000,-0.003,-0.000,4.096,0.000,-0.076,0.032,-0.067,0.000,0.003,0.002,-0.071,0.000,0.002,0.000,-0.076,-0.000,0.003,0.004,0.005,0.000,-0.005,-0.004,0.016,0.000,-0.003,-0.002,0.011,0.000,-0.001,-0.000,-0.001,0.007,-0.001,0.005,-0.001,0.000,-0.001,0.000,-0.001,0.000,-0.001,0.000,-0.001,0.006,-0.001,0.037,-0.001,0.000,-0.001,0.000,-0.001,0.000,-0.001,0.000,-0.000,0.000,0.001,0.000,0.041,0.007,0.006,0.009,0.002,-0.040,0.004,0.002,0.000,0.006,0.009,-0.005,-0.011,-0.004,0.016,0.018,0.013,-0.001,0.042,0.000,0.006,0.001,0.006,0.018,0.005,0.019,-0.000,0.011,0.012,0.010,0.004,0.021,0.005,0.009,-0.001,0.006,0.013,0.006,0.015,0.003,0.012,0.011,0.020,0.001,0.056,0.002,0.012,-0.000,0.002,0.021,0.010,0.018,0.007,0.015,0.014,0.016,0.003,0.043,0.004,0.017,0.004,0.001,0.018,0.014,0.020,0.012,0.017,0.017,0.015,0.000,0.060,0.002,0.013,-0.000,0.002,0.021,0.011,0.021,0.007,0.012,0.011,0.014,-0.000,0.064,0.002,0.008,-0.003,0.001,0.021,0.003,0.015,-0.001,0.069,0.154,-0.337,0.020,0.178,0.151,-0.270,0.162,0.407,0.199,0.203,0.094,0.244,0.011,0.011,0.013,0.005,0.022,0.006,0.013,-0.000,0.003,0.014,0.009,0.015,0.007,0.011,0.010,0.018,0.002,0.053,0.003,0.013,-0.002,0.000,0.020,0.009,0.017,0.006,0.013,0.013,0.012,0.001,0.014,0.002,0.011,0.001,0.001,0.017,0.007,0.013,0.005,0.004,0.005,-0.001,-0.002,0.002,-0.001,-0.007,-0.010,0.007,0.001,-0.008,0.001,-0.012,-0.000,0.000,-0.003,-0.001,0.003,-0.000,-0.002,-0.018,0.002,-0.001,-0.004,-0.000,-0.008,0.001,0.001,-0.002,-0.000,-0.015,-0.000,-0.002,-0.009,-0.001,-0.004,-0.001,-0.006
"5Q2",-0.011,-0.021,0.000,-0.008,0.008,-0.075,0.000,-0.005,-0.005,-0.064,0.000,-0.002,-0.001,-0.080,0.000,-0.001,-0.002,-0.104,0.000,0.002,0.001,-0.091,0.000,-0.002,-0.003,-0.048,0.000,-0.005,-0.003,3.839,0.000,-0.061,0.057,-0.066,0.000,0.001,0.000,-0.071,0.000,-0.000,-0.002,-0.073,-0.000,0.001,0.001,0.007,0.000,-0.004,-0.005,0.017,0.000,-0.003,-0.003,0.012,0.000,-0.001,-0.001,-0.003,0.005,-0.003,0.000,-0.003,0.000,-0.003,0.000,-0.003,0.000,-0.003,0.000,-0.003,0.004,-0.003,0.023,-0.003,0.000,-0.003,0.000,-0.003,0.000,-0.002,0.000,-0.001,0.000,0.000,0.000,0.048,0.008,0.008,0.007,0.001,-0.032,0.002,-0.000,-0.000,0.006,0.009,-0.007,-0.009,-0.006,0.016,0.018,0.012,-0.002,0.046,-0.001,0.003,0.000,0.006,0.018,0.003,0.019,-0.003,0.012,0.012,0.009,0.003,0.024,0.004,0.006,-0.002,0.005,0.012,0.004,0.015,0.001,0.012,0.010,0.018,0.000,0.058,0.002,0.008,-0.002,0.001,0.020,0.008,0.017,0.004,0.014,0.014,0.016,0.002,0.043,0.003,0.013,0.002,0.000,0.017,0.011,0.019,0.009,0.016,0.017,0.014,-0.000,0.061,0.001,0.009,-0.002,0.002,0.021,0.008,0.020,0.004,0.011,0.011,0.012,-0.001,0.072,0.001,0.003,-0.003,0.002,0.020,0.001,0.014,-0.004,0.084,0.165,-0.304,0.022,0.265,0.113,-0.179,0.170,0.406,0.200,0.255,0.119,0.305,0.011,0.011,0.012,0.004,0.023,0.005,0.009,-0.002,0.003,0.013,0.006,0.014,0.004,0.011,0.009,0.017,0.001,0.056,0.003,0.009,-0.003,-0.000,0.019,0.007,0.016,0.003,0.013,0.014,0.012,0.001,0.017,0.001,0.007,-0.001,0.000,0.017,0.005,0.012,0.002,0.005,0.006,-0.001,-0.003,0.009,-0.002,-0.006,-0.009,0.007,0.001,-0.008,0.002,-0.012,0.000,0.001,-0.003,-0.001,0.008,-0.001,-0.002,-0.017,0.002,-0.001,-0.004,-0.000,-0.007,0.001,0.001,-0.002,-0.001,-0.011,-0.000,-0.002,-0.009,-0.001,-0.004,-0.001,-0.006
"5Q3",-0.010,-0.015,0.000,-0.008,0.005,-0.072,0.000,-0.006,-0.007,-0.061,0.000,-0.003,-0.003,-0.079,0.000,-0.002,-0.004,-0.105,0.000,0.000,-0.001,-0.090,0.000,-0.003,-0.005,-0.044,0.000,-0.006,-0.006,3.553,0.000,-0.046,0.078,-0.065,0.000,-0.001,-0.001,-0.070,0.000,-0.002,-0.004,-0.070,-0.000,-0.001,-0.001,0.008,0.000,-0.003,-0.006,0.017,0.000,-0.002,-0.003,0.013,0.000,-0.001,-0.001,-0.004,0.000,-0.004,0.000,-0.004,0.000,-0.004,0.000,-0.004,0.000,-0.004,0.000,-0.004,0.000,-0.004,0.011,-0.004,0.000,-0.004,0.000,-0.004,0.000,-0.002,0.000,-0.001,0.000,0.000,0.000,0.054,0.009,0.010,0.006,-0.001,-0.025,0.000,-0.002,-0.001,0.005,0.008,-0.008,-0.007,-0.008,0.016,0.017,0.011,-0.003,0.049,-0.002,0.001,-0.001,0.006,0.017,0.001,0.018,-0.004,0.011,0.012,0.009,0.002,0.026,0.003,0.004,-0.003,0.004,0.012,0.002,0.014,-0.002,0.011,0.009,0.017,-0.000,0.058,0.001,0.005,-0.003,0.001,0.019,0.006,0.016,0.002,0.013,0.013,0.015,0.002,0.042,0.003,0.009,0.000,-0.001,0.016,0.009,0.017,0.006,0.016,0.016,0.013,-0.001,0.061,-0.000,0.005,-0.003,0.002,0.019,0.006,0.019,0.002,0.010,0.010,0.011,-0.001,0.079,0.001,-0.002,-0.003,0.003,0.018,-0.001,0.014,-0.007,0.098,0.174,-0.266,0.025,0.350,0.088,-0.104,0.175,0.394,0.206,0.297,0.143,0.354,0.011,0.011,0.011,0.003,0.022,0.004,0.005,-0.003,0.002,0.012,0.004,0.013,0.001,0.010,0.008,0.016,0.001,0.058,0.002,0.005,-0.003,-0.000,0.018,0.005,0.015,0.001,0.013,0.014,0.011,-0.000,0.018,0.001,0.004,-0.003,-0.001,0.016,0.003,0.012,-0.001,0.005,0.006,-0.001,-0.003,0.014,-0.002,-0.006,-0.009,0.007,0.001,-0.007,0.003,-0.011,0.000,0.001,-0.002,-0.001,0.012,-0.001,-0.001,-0.015,0.003,-0.001,-0.003,0.000,-0.007,0.001,0.001,-0.002,-0.001,-0.008,-0.001,-0.002,-0.009,-0.001,-0.004,-0.001,-0.006
"5Q4",-0.008,-0.010,0.000,-0.008,0.003,-0.070,0.000,-0.006,-0.008,-0.058,0.000,-0.004,-0.004,-0.077,0.000,-0.003,-0.005,-0.104,0.000,-0.001,-0.002,-0.088,0.000,-0.004,-0.006,-0.041,0.000,-0.007,-0.008,3.247,0.000,-0.033,0.093,-0.062,0.000,-0.003,-0.002,-0.069,0.000,-0.003,-0.005,-0.066,-0.000,-0.002,-0.002,0.007,0.000,-0.002,-0.006,0.016,0.000,-0.002,-0.004,0.013,0.000,-0.001,-0.002,-0.005,0.000,-0.005,0.000,-0.005,0.000,-0.005,0.000,-0.005,0.000,-0.005,0.000,-0.005,0.000,-0.005,0.000,-0.005,0.000,-0.005,0.000,-0.005,0.000,-0.002,0.000,-0.001,0.000,-0.000,0.000,0.058,0.010,0.011,0.005,-0.002,-0.019,-0.001,-0.003,-0.001,0.005,0.008,-0.009,-0.006,-0.009,0.015,0.017,0.010,-0.004,0.051,-0.003,-0.001,-0.001,0.005,0.016,0.001,0.018,-0.005,0.011,0.012,0.008,0.001,0.027,0.002,0.001,-0.003,0.004,0.011,0.001,0.013,-0.003,0.010,0.009,0.015,-0.001,0.058,0.001,0.002,-0.004,0.002,0.018,0.004,0.015,-0.001,0.013,0.012,0.014,0.001,0.040,0.002,0.006,-0.001,-0.001,0.015,0.007,0.016,0.003,0.015,0.016,0.012,-0.002,0.060,-0.001,0.002,-0.003,0.002,0.018,0.004,0.018,-0.000,0.009,0.009,0.009,-0.002,0.084,0.000,-0.005,-0.003,0.005,0.017,-0.002,0.013,-0.008,0.111,0.182,-0.228,0.027,0.430,0.071,-0.043,0.177,0.374,0.214,0.330,0.165,0.391,0.010,0.010,0.010,0.002,0.022,0.003,0.002,-0.004,0.002,0.011,0.002,0.012,-0.001,0.009,0.008,0.014,0.000,0.058,0.001,0.002,-0.004,0.000,0.016,0.003,0.014,-0.001,0.013,0.013,0.010,-0.001,0.020,-0.000,0.002,-0.005,-0.001,0.015,0.001,0.011,-0.003,0.005,0.006,-0.001,-0.003,0.019,-0.002,-0.005,-0.008,0.007,0.001,-0.007,0.003,-0.010,0.000,0.001,-0.002,-0.001,0.016,-0.001,-0.001,-0.014,0.003,-0.000,-0.003,0.001,-0.006,0.001,0.001,-0.002,-0.001,-0.005,-0.001,-0.002,-0.009,-0.001,-0.004,-0.001,-0.006
